Depth_m,Density_g_cm3,Vp_m_s,Vs_m_s,Bulk_Modulus_GPa,Shear_Modulus_GPa,Youngs_Modulus_GPa,Poissons_Ratio,Gamma_Ray_gAPI,Neutron_Porosity_pu
2559.4056,4.0716,4.7363538466558825,2.72215285852843,5.111035851641241e-05,3.017102905963794e-05,7.563111626433897e-05,0.2533731632892234,48.5517,32.0349
2559.4818,4.1542,4.7110028500949,2.713682461758712,5.140732983606189e-05,3.0591829993029504e-05,7.658409252545384e-05,0.2517082590826356,49.0709,32.9718
2559.558,4.22,4.7110028500949,2.713682461758712,5.222159065720985e-05,3.10763859637438e-05,7.779713794651562e-05,0.25170825908263567,49.5207,33.7059
2559.6342,4.2962,4.665594151475678,2.733926521239954,5.070359410607474e-05,3.21113206151691e-05,7.954221598171704e-05,0.23853853497607327,49.7507,34.3115
2559.7104,4.4593,4.665594151475678,2.733926521239954,5.2628494296638686e-05,3.333038778902835e-05,8.256193932481517e-05,0.23853853497607325,49.9875,34.9735
2559.7866,4.9434,4.665594151475678,2.733926521239954,5.834182465992502e-05,3.694872266864367e-05,9.152483368651833e-05,0.23853853497607327,50.0954,35.8658
2559.8628,-1.4428,4.609793391117074,2.6605587871762464,-1.704249455496015e-05,-1.0212965210997923e-05,-2.5537629161397856e-05,0.2502553682400402,50.3441,37.0637
2559.939,-1.4539,4.561112624166116,2.6408290539715105,-1.6727280757759087e-05,-1.013946674839506e-05,-2.5305342143037307e-05,0.24786355983872616,50.6261,38.4645
2560.0152,-1.4668,4.561112624166116,2.6408290539715105,-1.6875696688548754e-05,-1.0229431065785733e-05,-2.5529868529752474e-05,0.24786355983872616,51.23,39.7602
2560.0914,-1.4822,4.510877608406098,2.5972454541813694,-1.6828560165222193e-05,-9.99845274960175e-06,-2.5036914503866272e-05,0.25203944704662035,51.9085,40.5414
2560.1676,-1.502,4.510877608406098,2.5972454541813694,-1.705336484156236e-05,-1.0132017291797215e-05,-2.5371370654977155e-05,0.25203944704662035,52.7302,40.5658
